Date	Open*	High	Low	Close**	Volume	Market Cap
Dec 22, 2017	63.27	63.27	36.35	49.48	1,101,629,952	4,665,872,896
Dec 21, 2017	63.82	69.24	56.87	62.23	905,593,024	4,706,660,352
Dec 20, 2017	67.72	69.07	57.71	63.64	1,025,680,000	4,994,345,472
Dec 19, 2017	51.96	77.75	51.30	67.75	2,134,470,016	3,831,878,144
Dec 18, 2017	29.66	56.06	27.84	51.85	2,427,869,952	2,187,327,744
Dec 17, 2017	29.19	30.30	28.63	29.62	399,360,992	2,152,086,784
Dec 16, 2017	30.15	31.53	28.48	29.00	609,254,016	2,222,904,064
Dec 15, 2017	20.68	32.65	17.69	30.54	1,227,399,936	1,524,896,640
Dec 14, 2017	17.16	20.63	17.02	20.48	389,612,992	1,264,911,232
Dec 13, 2017	14.81	19.29	14.80	17.31	541,412,992	1,091,755,264
Dec 12, 2017	13.57	15.12	13.28	14.76	253,559,008	1,000,137,216
Dec 11, 2017	11.02	14.60	11.00	13.55	218,916,992	812,115,584
Dec 10, 2017	12.09	12.09	10.74	11.05	106,888,000	891,217,152
Dec 09, 2017	12.77	12.77	11.54	12.08	124,125,000	941,021,440
Dec 08, 2017	12.53	13.06	11.99	12.79	153,972,000	923,476,928
Dec 07, 2017	11.95	14.93	11.67	12.56	262,720,992	880,877,376
Dec 06, 2017	13.12	13.14	11.86	11.96	136,931,008	967,195,584
Dec 05, 2017	13.69	13.95	13.08	13.08	106,446,000	1,009,239,040
Dec 04, 2017	13.15	14.00	12.68	13.62	139,016,000	968,909,632
Dec 03, 2017	13.03	13.68	12.49	13.15	101,683,000	959,946,816
Dec 02, 2017	13.15	13.45	12.55	13.00	106,410,000	969,375,488
Dec 01, 2017	12.87	13.28	12.13	13.16	77,540,704	948,229,248
Nov 30, 2017	12.49	13.53	11.44	12.95	116,134,000	920,799,360
Nov 29, 2017	15.44	15.44	12.27	12.45	169,680,992	1,137,977,472
Nov 28, 2017	14.76	15.90	14.60	15.49	248,416,000	1,087,670,400
Nov 27, 2017	14.69	14.95	14.22	14.79	141,496,992	1,082,679,936
Nov 26, 2017	14.51	15.01	14.23	14.79	115,807,000	1,068,963,968
Nov 25, 2017	14.37	14.82	14.09	14.49	143,624,000	1,059,045,248
Nov 24, 2017	13.95	14.43	13.54	14.43	153,144,000	1,027,569,984
Nov 23, 2017	14.22	14.22	13.81	13.95	116,380,000	1,047,378,752
Nov 22, 2017	14.05	14.26	13.85	14.20	91,778,304	1,035,432,256
Nov 21, 2017	14.80	14.94	13.46	14.15	158,550,000	1,090,628,992
Nov 20, 2017	14.00	15.30	14.00	14.77	160,772,992	1,031,670,912
Nov 19, 2017	14.01	14.11	13.66	14.03	61,181,300	1,032,337,280
Nov 18, 2017	13.52	14.16	13.11	14.02	116,168,000	996,076,800
Nov 17, 2017	12.83	13.37	12.55	13.37	109,115,000	945,173,376
Nov 16, 2017	11.68	13.90	11.63	12.89	317,008,000	860,619,392
Nov 15, 2017	11.54	11.74	11.50	11.72	43,757,700	849,763,776
Nov 14, 2017	11.41	11.69	11.23	11.60	73,833,600	840,602,048
Nov 13, 2017	11.10	11.51	11.09	11.42	73,428,304	817,728,000
Nov 12, 2017	11.59	11.66	10.89	11.11	116,105,000	853,805,248
Nov 11, 2017	11.30	12.17	11.30	11.65	113,139,000	832,532,672
Nov 10, 2017	11.97	12.31	11.07	11.29	131,906,000	881,364,352
Nov 09, 2017	11.88	12.45	11.73	11.94	116,434,000	874,753,280
Nov 08, 2017	11.18	12.12	10.99	11.91	196,034,000	823,231,104
